molregno1,molregno2,smiles1,smiles2,substituent1,substituent2,core,standard_value_1,standard_value_2,pKi_1,pKi_2,delta,label
398755,398691,CC(C)[C@H](N)c1cccc(F)c1N1CCN(C(=O)[C@@H]2CN(C3CCCCC3)C[C@H]2c2ccc(Cl)cc2)CC1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCCCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]c1c(F)cccc1C(N)C(C)C,[*]c1ccc(C)cc1C(N)C(C)C,CC(C)[C@H](N)[*:1].O=C([C@@H]1CN(C2CCCCC2)C[C@H]1c1ccc(Cl)cc1)N1CCN([*:2])CC1,9.3,6.6000000000000005,8.031517051446064,8.18045606445813,0.1489390130120664,False
398712,398691,CCN1CCC(N2C[C@@H](C(=O)N3CCN(c4ccc(C)cc4[C@@H](N)C(C)C)CC3)[C@H](c3ccc(Cl)cc3)C2)CC1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCCCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C1CCN(CC)CC1,[*]C1CCCCC1,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)[*:1],18.0,6.6000000000000005,7.744727494896693,8.18045606445813,0.4357285695614372,False
398686,398691,COCC(C)N1C[C@@H](C(=O)N2CCN(c3ccc(C)cc3[C@@H](N)C(C)C)CC2)[C@H](c2ccc(Cl)cc2)C1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCCCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C(C)COC,[*]C1CCCCC1,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)[*:1],64.0,6.6000000000000005,7.1938200260161125,8.18045606445813,0.9866360384420184,False
398685,398705,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C(C)C)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCOCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C(C)C,[*]C1CCOCC1,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)[*:1],12.0,11.5,7.920818753952375,7.939302159646388,0.0184834056940133,False
398691,398705,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCCCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCOCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C1CCCCC1,[*]C1CCOCC1,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)[*:1],6.6000000000000005,11.5,8.18045606445813,7.939302159646388,0.2411539048117426,False
398712,398705,CCN1CCC(N2C[C@@H](C(=O)N3CCN(c4ccc(C)cc4[C@@H](N)C(C)C)CC3)[C@H](c3ccc(Cl)cc3)C2)CC1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCOCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C1CCN(CC)CC1,[*]C1CCOCC1,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)[*:1],18.0,11.5,7.744727494896693,7.939302159646388,0.1945746647496946,False
398686,398705,COCC(C)N1C[C@@H](C(=O)N2CCN(c3ccc(C)cc3[C@@H](N)C(C)C)CC2)[C@H](c2ccc(Cl)cc2)C1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCOCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C(C)COC,[*]C1CCOCC1,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)[*:1],64.0,11.5,7.1938200260161125,7.939302159646388,0.7454821336302757,False
438708,398705,CNCC(=O)N[C@H](c1cc(C)ccc1N1CCN(C(=O)[C@@H]2CN(C3CCOCC3)C[C@H]2c2ccc(Cl)cc2)CC1)C(C)C,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCOCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C(NC(=O)CNC)C(C)C,[*]C(N)C(C)C,CC(C)[*:1].Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCOCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([*:2])c1,2.1,11.5,8.67778070526608,7.939302159646388,0.7384785456196923,False
398694,398705,Cc1ccc(N2CCN(C(=O)C3CN(C4CCOCC4)CC3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C4CCOCC4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C1CN(CC1c1ccc(Cl)cc1)C1CCOCC1,[*]C1CN(CC1c1ccc(Cl)cc1)C1CCOCC1,C1CC([*:3])CCO1.Cc1ccc(N2CCN(C(=O)[*:1])CC2)c([C@@H](N)C(C)C)c1.Clc1ccc([*:2])cc1,12.0,11.5,7.920818753952375,7.939302159646388,0.0184834056940133,False
398685,398709,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(C(C)C)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,Cc1ccc(N2CCN(C(=O)[C@@H]3CN(Cc4ccccc4)C[C@H]3c3ccc(Cl)cc3)CC2)c([C@@H](N)C(C)C)c1,[*]C(C)C,[*]Cc1ccccc1,Cc1ccc(c(c1)[C@@H](N)C(C)C)N1CCN(CC1)C(=O)[C@@H]1CN(C[C@H]1c1ccc(Cl)cc1)[*:1],12.0,36.0,7.920818753952375,7.443697499232712,0.4771212547196626,False
