molregno1,molregno2,smiles1,smiles2,substituent1,substituent2,core,standard_value_1,standard_value_2,pKi_1,pKi_2,delta,label
332987,332986,C#Cc1cc(OC2CCOCC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,C=Cc1cc(OC2CCOCC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,[*]C#C,[*]C=C,N=C(N)c1ccc(cc1)NC(C(=O)O)c1cc(cc(c1)[*:1])OC1CCOCC1,4700.0,2900.0,5.327902142064283,5.537602002101044,0.2096998600367605,0
332987,333030,C#Cc1cc(OC2CCOCC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,CCc1cc(OC2CCOCC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,[*]C#C,[*]CC,N=C(N)c1ccc(cc1)NC(C(=O)O)c1cc(cc(c1)[*:1])OC1CCOCC1,4700.0,1600.0,5.327902142064283,5.795880017344075,0.467977875279792,0
332986,333030,C=Cc1cc(OC2CCOCC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,CCc1cc(OC2CCOCC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,[*]C=C,[*]CC,N=C(N)c1ccc(cc1)NC(C(=O)O)c1cc(cc(c1)[*:1])OC1CCOCC1,2900.0,1600.0,5.537602002101044,5.795880017344075,0.2582780152430315,0
332975,332974,C#Cc1cc(O[C@@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,CCOc1cc(O[C@@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,[*]C#C,[*]OCC,N=C(N)c1ccc(cc1)NC(C(=O)O)c1cc(cc(c1)[*:1])O[C@@H]1CCOC1,8800.0,11300.0,5.055517327849832,4.94692155651658,0.1085957713332517,0
332975,332955,C#Cc1cc(O[C@@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,C#Cc1cc(O[C@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,[*]C1CCOC1,[*]C1CCOC1,C#Cc1cc(cc(c1)C(Nc1ccc(cc1)C(=N)N)C(=O)O)O[*:1],8800.0,9500.0,5.055517327849832,5.022276394711152,0.0332409331386793,0
332955,332954,C#Cc1cc(O[C@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,CCOc1cc(O[C@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,[*]C#C,[*]OCC,N=C(N)c1ccc(cc1)NC(C(=O)O)c1cc(cc(c1)[*:1])O[C@H]1CCOC1,9500.0,8600.0,5.022276394711152,5.0655015487564325,0.0432251540452801,0
332974,332954,CCOc1cc(O[C@@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,CCOc1cc(O[C@H]2CCOC2)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,[*]C1CCOC1,[*]C1CCOC1,CCOc1cc(cc(c1)C(Nc1ccc(cc1)C(=N)N)C(=O)O)O[*:1],11300.0,8600.0,4.94692155651658,5.0655015487564325,0.1185799922398525,0
408987,370546,C/C(=C\S(=O)(=O)N[C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)c1ccc(Cl)s1,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)/C=C/c2ccc(Cl)s2)C1=O,[*]C=C(C)c1ccc(Cl)s1,[*]C=Cc1ccc(Cl)s1,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)[*:1])C1=O.Clc1ccc([*:2])s1,2.0,367.0,8.698970004336019,6.43533393574791,2.2636360685881085,1
408987,408986,C/C(=C\S(=O)(=O)N[C@H]1CCN([C@@H](C)C(=O)N2CCOCC2)C1=O)c1ccc(Cl)s1,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)CCc2ccc(Cl)s2)C1=O,[*]C=C(C)c1ccc(Cl)s1,[*]CCc1ccc(Cl)s1,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)[*:1])C1=O.Clc1ccc([*:2])s1,2.0,17.0,8.698970004336019,7.769551078621726,0.9294189257142929,0
1059954,1059952,C/C(=N\NC(=N)N)c1cc(NC(=O)CCCCCNC(=N)N)cc(/C(C)=N/NC(=N)N)c1,C/C(=N\NC(=N)N)c1cc(NC(=O)CCCCNC(=N)N)cc(/C(C)=N/NC(=N)N)c1,[*]CCCCCNC(=N)N,[*]CCCCNC(=N)N,CC(=NNC(=N)N)c1cc(NC(=O)[*:2])cc(C(C)=NNC(=N)N)c1.N=C(N)NCCC[*:1],1000000.0,1000000.0,3.0,3.0,0.0,0
